param_n_neighbors,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,mean_test_recall,mean_test_f1,mean_test_precision,rank_test_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,std_test_precision,rank_test_precision
15,0.89625,0.01879162047296612,0.9645010847704564,0.8278545826932924,0.8610695236028059,0.9011009699651827,17,0.005652618408203125,0.0015495603874558098,0.032022285461425784,0.005296584513573135,{'n_neighbors': 15},0.88125,0.9125,0.86875,0.9,0.91875,0.9665898617511521,0.9720994927180494,0.9669448535427917,0.9682539682539683,0.9486172475863197,0.008178645567069764,16,0.7741935483870968,0.873015873015873,0.7301587301587301,0.8888888888888888,0.873015873015873,0.06360543534202764,10,0.8347826086956521,0.8870967741935484,0.8141592920353983,0.875,0.8943089430894309,0.031202264901181966,17,0.9056603773584906,0.9016393442622951,0.92,0.8615384615384616,0.9166666666666666,0.02090805761296748,22
16,0.8962499999999999,0.02455860338048562,0.964730839680956,0.799231950844854,0.8563895883660588,0.9271398173834429,19,0.005996084213256836,0.0012957405356813436,0.03491787910461426,0.005654913844829357,{'n_neighbors': 16},0.89375,0.90625,0.85,0.91875,0.9125,0.9671658986175115,0.9704630993290787,0.9630993290787105,0.9702176403207332,0.9527082310587465,0.00657416517721787,15,0.7580645161290323,0.8253968253968254,0.6825396825396826,0.8888888888888888,0.8412698412698413,0.07183591663565392,21,0.8468468468468469,0.8739495798319328,0.7818181818181819,0.896,0.8833333333333333,0.04063314408997807,19,0.9591836734693877,0.9285714285714286,0.9148936170212766,0.9032258064516129,0.9298245614035088,0.018750548877628066,11
17,0.9024999999999999,0.012869537676233755,0.9658297683334502,0.8470046082949307,0.871647702287819,0.9016240981063495,9,0.004704427719116211,0.00013241909542843918,0.02967839241027832,0.0026252641732384258,{'n_neighbors': 17},0.90625,0.8875,0.8875,0.91875,0.9125,0.9693877551020408,0.9689085256095565,0.9675994108983799,0.9714449353624611,0.9518082146948126,0.007119040921685131,12,0.8064516129032258,0.873015873015873,0.7777777777777778,0.9206349206349206,0.8571428571428571,0.05027463053282468,1,0.8695652173913043,0.859375,0.8448275862068966,0.8992248062015504,0.8852459016393442,0.019077118635980467,6,0.9433962264150944,0.8461538461538461,0.9245283018867925,0.8787878787878788,0.9152542372881356,0.03479579202377396,21
18,0.9,0.020539595906443723,0.9671227076353212,0.8056323604710702,0.8621785420329608,0.9321342699406177,12,0.005189323425292968,0.0012297786228719454,0.03133583068847656,0.00534702261711642,{'n_neighbors': 18},0.90625,0.9,0.8625,0.925,0.90625,0.9695523370638578,0.9684176075928653,0.9695630829651449,0.9714449353624611,0.9566355751922762,0.005332858449531475,8,0.7741935483870968,0.8412698412698413,0.6984126984126984,0.8888888888888888,0.8253968253968254,0.0649257552483359,17,0.8648648648648649,0.8688524590163934,0.8,0.9032258064516129,0.8739495798319328,0.03388617368403578,14,0.9795918367346939,0.8983050847457628,0.9361702127659575,0.9180327868852459,0.9285714285714286,0.026923851561150555,8
19,0.89625,0.018791620472966147,0.9672713027124165,0.8311827956989246,0.8616847833413829,0.8979380193755249,17,0.004939460754394531,0.0008043437905052714,0.02986760139465332,0.0037875702328543327,{'n_neighbors': 19},0.89375,0.8875,0.86875,0.925,0.90625,0.9707044107965768,0.9685812469317624,0.9698085419734904,0.9721813123874979,0.955081001472754,0.006207276494024896,7,0.8225806451612904,0.8412698412698413,0.7301587301587301,0.9206349206349206,0.8412698412698413,0.06080302368206069,6,0.8571428571428571,0.8548387096774194,0.8141592920353983,0.90625,0.8760330578512396,0.030060278306496692,15,0.8947368421052632,0.8688524590163934,0.92,0.8923076923076924,0.9137931034482759,0.018033483414137207,23
20,0.89375,0.011858541225631415,0.9668300420711462,0.7961085509472606,0.853894942906418,0.9246273551292535,21,0.005032777786254883,0.0009285718123727564,0.03311491012573242,0.005511715296652171,{'n_neighbors': 20},0.89375,0.89375,0.875,0.9125,0.89375,0.9711981566820276,0.9680085092456227,0.9676812305678285,0.9699721813123875,0.9572901325478645,0.004941186997387299,9,0.7741935483870968,0.8412698412698413,0.7142857142857143,0.8571428571428571,0.7936507936507936,0.05088420812759231,24,0.8495575221238938,0.8617886178861789,0.8181818181818182,0.8852459016393442,0.8547008547008547,0.021633689970135248,20,0.9411764705882353,0.8833333333333333,0.9574468085106383,0.9152542372881356,0.9259259259259259,0.025082773383288334,13
21,0.9037500000000002,0.013462912017836273,0.9650922601609094,0.8311315924219149,0.8707380858755792,0.9174726436584889,6,0.005737161636352539,0.0013264186575052707,0.03640127182006836,0.005148054464169342,{'n_neighbors': 21},0.89375,0.9,0.8875,0.9125,0.925,0.9684002633311389,0.9666993945344461,0.9667812142038946,0.966535755195549,0.9570446735395188,0.004079844604197117,14,0.8064516129032258,0.8571428571428571,0.746031746031746,0.873015873015873,0.873015873015873,0.049063748447918276,7,0.8547008547008547,0.8709677419354839,0.8392857142857143,0.8870967741935484,0.9016393442622951,0.022221573561075226,7,0.9090909090909091,0.8852459016393442,0.9591836734693877,0.9016393442622951,0.9322033898305084,0.025753891496119705,17
22,0.9,0.010458250331675948,0.9655196076878818,0.8120327700972861,0.8637282350085215,0.9259425186279868,12,0.004394054412841797,0.0002678531456795255,0.02994704246520996,0.002245713001158443,{'n_neighbors': 22},0.9,0.9,0.88125,0.9125,0.90625,0.9700460829493088,0.9693176239567992,0.9650630011454754,0.9679266895761741,0.9552446408116511,0.005412788245080799,13,0.7903225806451613,0.8571428571428571,0.7301587301587301,0.8571428571428571,0.8253968253968254,0.04779775857187142,14,0.8596491228070176,0.8709677419354839,0.8288288288288288,0.8852459016393442,0.8739495798319328,0.019258785194437716,12,0.9423076923076923,0.8852459016393442,0.9583333333333334,0.9152542372881356,0.9285714285714286,0.024877093667282878,12
23,0.905,0.013919410907075044,0.9659943502952671,0.834357398873528,0.8723800771297231,0.9181488870727369,4,0.004738807678222656,0.0006695753419995891,0.03313369750976562,0.005706352625176711,{'n_neighbors': 23},0.90625,0.9,0.88125,0.91875,0.91875,0.9702106649111257,0.9709540173457699,0.9643266241204386,0.9693994436262477,0.955081001472754,0.005930476539039537,11,0.8225806451612904,0.8571428571428571,0.7301587301587301,0.8888888888888888,0.873015873015873,0.056539176903785925,4,0.8717948717948718,0.8709677419354839,0.8288288288288288,0.896,0.8943089430894309,0.024239737223112113,3,0.9272727272727272,0.8852459016393442,0.9583333333333334,0.9032258064516129,0.9166666666666666,0.024517487409000595,16
24,0.8975,0.012869537676233743,0.9666827666661388,0.8024577572964668,0.8591576241587034,0.9281457084513537,16,0.0050713539123535155,0.0007850420019912004,0.037330245971679686,0.003900095044714307,{'n_neighbors': 24},0.89375,0.90625,0.875,0.9,0.9125,0.9711981566820277,0.9697267223040419,0.96424480445099,0.9715267550319097,0.9567173948617248,0.005627982430170463,10,0.7741935483870968,0.8571428571428571,0.7142857142857143,0.8253968253968254,0.8412698412698413,0.052146358505347885,19,0.8495575221238938,0.8780487804878049,0.8181818181818182,0.8666666666666667,0.8833333333333333,0.023532552158520032,18,0.9411764705882353,0.9,0.9574468085106383,0.9122807017543859,0.9298245614035088,0.02037180951958167,10
25,0.90625,0.010458250331675948,0.9687972018427147,0.8374807987711212,0.8744097527310677,0.9190464459267172,3,0.004439926147460938,0.00023509182236392293,0.033051252365112305,0.005072073834520057,{'n_neighbors': 25},0.90625,0.9125,0.8875,0.90625,0.91875,0.9742429229756417,0.9684994272623139,0.9685812469317623,0.972344951726395,0.9603174603174603,0.004780872942343945,6,0.8064516129032258,0.8888888888888888,0.746031746031746,0.873015873015873,0.873015873015873,0.05384053186080165,2,0.8695652173913043,0.8888888888888888,0.8392857142857143,0.88,0.8943089430894309,0.019462998868066465,2,0.9433962264150944,0.8888888888888888,0.9591836734693877,0.8870967741935484,0.9166666666666666,0.028774405169587593,15
26,0.9075,0.017410485346480153,0.9700124690159846,0.8088069636456734,0.8716989423441037,0.9495717912994099,2,0.0043162345886230465,0.0003150012613568028,0.031882190704345705,0.0029652886017675763,{'n_neighbors': 26},0.90625,0.925,0.875,0.9125,0.91875,0.9780283080974325,0.967763050237277,0.970054000981836,0.9728358697430861,0.9613811160202914,0.005509757383549945,5,0.7741935483870968,0.8888888888888888,0.7142857142857143,0.8412698412698413,0.8253968253968254,0.05979052062602268,15,0.8648648648648649,0.9032258064516129,0.8181818181818182,0.8833333333333333,0.8888888888888888,0.02944684590902702,5,0.9795918367346939,0.9180327868852459,0.9574468085106383,0.9298245614035088,0.9629629629629629,0.022482012323342536,1
27,0.9087500000000001,0.012869537676233769,0.9709298861990201,0.824731182795699,0.8757146481828565,0.936885869101739,1,0.00617671012878418,0.0035931287285300407,0.031150007247924806,0.003362546968786739,{'n_neighbors': 27},0.90625,0.925,0.8875,0.90625,0.91875,0.9789335088874259,0.9697267223040419,0.9704630993290787,0.9702176403207331,0.9653084601538209,0.004423374152189121,1,0.7903225806451613,0.8888888888888888,0.746031746031746,0.8571428571428571,0.8412698412698413,0.050631627187298835,12,0.8672566371681416,0.9032258064516129,0.8392857142857143,0.8780487804878049,0.8907563025210085,0.02185025648975959,1,0.9607843137254902,0.9180327868852459,0.9591836734693877,0.9,0.9464285714285714,0.023980812960379138,5
28,0.9012499999999999,0.021794494717703384,0.9701745058959178,0.7991807475678444,0.8624666151021717,0.9424650039132949,10,0.005711030960083008,0.0013413936210108447,0.03320646286010742,0.00717367073638795,{'n_neighbors': 28},0.8875,0.925,0.86875,0.9,0.925,0.9766293614219881,0.969890361642939,0.9680903289150712,0.9692358042873507,0.9670266732122401,0.003372823826433508,4,0.7419354838709677,0.8888888888888888,0.6984126984126984,0.8412698412698413,0.8253968253968254,0.06919182771241993,22,0.8363636363636363,0.9032258064516129,0.8073394495412844,0.8688524590163934,0.896551724137931,0.03628844229706938,13,0.9583333333333334,0.9180327868852459,0.9565217391304348,0.8983050847457628,0.9811320754716981,0.02997188614765168,2
29,0.9049999999999999,0.012747548783981983,0.9704023755605778,0.8278033794162827,0.8719032790746184,0.9242334761159382,5,0.005070972442626953,0.000868198110160173,0.028888130187988283,0.004449998081984171,{'n_neighbors': 29},0.8875,0.9125,0.9,0.9,0.925,0.9755595786701777,0.9692358042873507,0.9693176239567992,0.9706267386679758,0.9672721322205858,0.002792242133576939,2,0.7580645161290323,0.8888888888888888,0.7936507936507936,0.8571428571428571,0.8412698412698413,0.0464833264358657,11,0.8392857142857143,0.8888888888888888,0.8620689655172413,0.8709677419354839,0.8983050847457628,0.020722262275636692,4,0.94,0.8888888888888888,0.9433962264150944,0.8852459016393442,0.9636363636363636,0.03142499842221239,14
30,0.9025000000000001,0.01610512340840643,0.9702181304846516,0.8087557603686635,0.8659098919810189,0.9354804289360535,7,0.004950809478759766,0.000725310438571707,0.028655433654785158,0.0009798851220832584,{'n_neighbors': 30},0.8875,0.9125,0.88125,0.90625,0.925,0.9718564845292956,0.9678448699067256,0.968663066601211,0.9727540500736377,0.9699721813123875,0.0018561342939055455,3,0.7580645161290323,0.873015873015873,0.7301587301587301,0.8412698412698413,0.8412698412698413,0.05475543514850714,16,0.8392857142857143,0.8870967741935484,0.8288288288288288,0.8760330578512396,0.8983050847457628,0.027146502764947008,9,0.94,0.9016393442622951,0.9583333333333334,0.9137931034482759,0.9636363636363636,0.024294021978876604,7
